Praha Krč;50.0406047;14.4380072;266;
D3;48.867;14.448;500;
Zvěrotice;49.266727;14.731686;430;
Masaryčka;50.0884267;14.4345264;190;
Nemocnice Na Homolce;50.0748194;14.3559808;300;
Jáma Plzeň;49.7334761;13.4122347;330;
D7 Panenský Týnec;50.2976897;13.9059275;365;
