pribyslav;Přibyslav;49.5825;15.7623;530;archiv;0
dobra_voda;Dobrá Voda;49.3938961;16.0650400;559;aktualni-pocasi;0
kostelni_myslova;Kostelní Myslová;49.159;15.4391;569;archiv;0
zdar;Žďár nad Sázavou;49.5637256;15.9378222;580;aktualni-pocasi;0
svratka;Svratka;49.7114492;16.0351844;642;aktualni-pocasi;0
pocatky;Počátky;49.2597222;15.2386111;614;aktualni-pocasi;0
studnice;Nové Město na Moravě;49.6061111;16.0908333;786;aktualni-pocasi;0
uhersky_ostroh;Uherský Ostroh;48.9861111;17.39;180;aktualni-pocasi;0
kunovice;Uherské Hradiště;49.0416667;17.4691667;185;aktualni-pocasi;0
chropyne;Kroměříž;49.3555328;17.3649911;195;aktualni-pocasi;0
uhersky_brod_h;Uherský Brod;49.0277994;17.6451786;310;aktualni-pocasi;0
zasova;Zubří;49.4716667;18.0433333;331;aktualni-pocasi;0
brumov;Valašské Klobouky;49.0823044;18.0198353;320;aktualni-pocasi;0
zlin;Zlín Štípa;49.2631658;17.7178350;270;aktualni-pocasi;0
holesov;Holešov;49.3205;17.5699;224;archiv;0
sehradice;Luhačovice;49.1442683;17.8241586;318;aktualni-pocasi;0
valasska_polanka;Valašská Polanka;49.2736111;18.0030556;430;aktualni-pocasi;0
pozdechov;Vizovice;49.2333333;17.9666667;510;aktualni-pocasi;0
zitkova;Bojkovice;48.9944444;17.8872222;562;aktualni-pocasi;0
ceske_budejovice;České Budějovice;48.9876889;14.4428919;381;aktualni-pocasi;0
cesky_krumlov;Český Krumlov;48.8180556;14.3197222;524;aktualni-pocasi;0
ceske_budejovice;České Budějovice;48.9519;14.4697;388;archiv;0
temelin;Temelín;49.1975;14.3421;503;archiv;0
strakonice;Strakonice;49.2582550;13.9030133;423;aktualni-pocasi;0
horni_stropnice;Nové Hrady;48.7617153;14.7327547;543;aktualni-pocasi;0
trhove_sviny;Trhové Sviny;48.8437719;14.6321122;468;aktualni-pocasi;0
milevsko;Milevsko;49.4463889;14.3652778;475;aktualni-pocasi;0
frymburk;Frymburk;48.6615631;14.1655036;731;aktualni-pocasi;0
kubova_hut;Kubova Huť;48.9832253;13.7718231;995;aktualni-pocasi;0
pikov;Jistebnice;49.4897222;14.5933333;620;aktualni-pocasi;0
kunzak;Kunžak;49.1211875;15.1902839;577;aktualni-pocasi;0
mirovice;Mirovice;49.5155978;14.0193586;452;aktualni-pocasi;0
olsi;Opařany-Olší;49.4355308;14.5090661;495;aktualni-pocasi;0
chroboly;Prachatice;48.9567406;14.0676858;751;aktualni-pocasi;0
volary;Volary;48.9105625;13.8924933;760;aktualni-pocasi;0
sudomerice;Hodonín;48.8688889;17.2563889;182;aktualni-pocasi;0
nemcany;Slavkov u Brna;49.17;16.9163889;256;aktualni-pocasi;0
holasice;Rajhrad;49.0763786;16.6096436;196;aktualni-pocasi;0
louka;Veselí nad Moravou;48.9146122;17.4928122;375;aktualni-pocasi;0
breclav;Břeclav;48.7585025;16.8817911;160;aktualni-pocasi;0
rousinov;Rousínov;49.2031264;16.8806325;250;aktualni-pocasi;0
brno_k;Brno – Kraví Hora;49.2048153;16.5836472;280;aktualni-pocasi;0
